id,category,description,notes,dynamics,instruments,assigned,qty,w,n_events,n_distinct,player_count,span_semitones,interval_raw,interval_reported,pitch_structure_density,sonic_mass,instrument_rss,composite_total,composite_total_pre_log,spectral_entropy,harmonic_ratio,weighted_orchestral,weighted_pitch,warnings,nonfinite_flag
MORPH.single,MORPH,single pitch,C4,mf,flauta,,1,0.5,1,1,1,0.0,0.0,0.0,0.0,25.954758,25.954758,0.0,0.0,0.0,1.0,1.2977379,0.0,Fewer than two simultaneous events; interval compactness is zero or unstable.,False
MORPH.dyad_min2,MORPH,dyad C4-C#4 (min2),C4 C#4,mf mf,flauta flauta,,1 1,0.5,2,2,2,1.0,0.9048374180359595,0.2798579136268373,1.3996513427071333,46.491688,33.09705359489669,0.007148988385600404,0.0165973853650981,0.9901818073458435,0.5582666303705729,1.6548526797448346,0.13992895681341866,,False
MORPH.dyad_maj2,MORPH,dyad C4-D4 (maj2),C4 D4,mf mf,flauta flauta,,1 1,0.5,2,2,2,2.0,0.8187307530779818,0.25976841038427523,1.266077607089818,46.397835,33.03889919574339,0.0064653045847542015,0.014998275988206116,0.9897966383818677,0.5593958856054383,1.6519449597871694,0.12988420519213761,,False
MORPH.dyad_M3,MORPH,dyad C4-E4 (M3),C4 E4,mf mf,flauta flauta,,1 1,0.5,2,2,2,4.0,0.6703200460356393,0.2227996932495034,1.0192887714366348,42.361602000000005,30.70560197877417,0.004982031821857625,0.011537602786769713,0.9630380753515804,0.6126953838997873,1.5352800989387083,0.1113998466247517,,False
MORPH.dyad_tritone,MORPH,dyad C4-F#4 (tritone),C4 F#4,mf mf,flauta flauta,,1 1,0.5,2,2,2,6.0,0.5488116360940264,0.1899986027951832,0.8357901978224206,42.653105,30.8623436467643,0.00410332379471738,0.009493027842357296,0.9657556062986891,0.6085080558613495,1.543117182338215,0.0949993013975916,,False
MORPH.dyad_P5,MORPH,dyad C4-G4 (P5),C4 G4,mf mf,flauta flauta,,1 1,0.5,2,2,2,7.0,0.49658530379140947,0.17510147621132907,0.7522859797002593,41.684961,30.349443969532178,0.003653097849336314,0.008447045296364045,0.9561555269526072,0.6226408128341538,1.517472198476609,0.08755073810566452,,False
MORPH.dyad_8ve,MORPH,dyad C4-C5 (8ve),C4 C5,mf mf,flauta flauta,,1 1,0.5,2,2,2,12.0,0.301194211912202,0.11434212274678003,0.4164182160684099,36.652396,28.072921501290317,0.001899971292270346,0.004384429182103748,0.8711212357168183,1.0,1.4036460750645157,0.057171061373390016,,False
MORPH.dyad_2x8ve,MORPH,dyad C4-C6 (2x8ve),C4 C6,mf mf,flauta flauta,,1 1,0.5,2,2,2,24.0,0.09071795328941247,0.0377124617101715,0.11675927623776544,31.516180000000002,26.543904714654325,0.0004947971903562944,0.001139961897757313,0.6722767065986244,1.0,1.3271952357327164,0.01885623085508575,,False
MORPH.dyad_3x8ve,MORPH,dyad C4-C7 (3x8ve),C4 C7,mf mf,flauta flauta,,1 1,0.5,2,2,2,36.0,0.02732372244729256,0.011707316741617527,0.032567880465228245,29.111815,26.146060348354837,0.00013270101697131207,0.0003056020703045262,0.49521045590818746,1.0,1.307303017417742,0.005853658370808763,,False
MORPH.cluster_3,MORPH,3-semitone chromatic cluster from C4,C4 C#4 D4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,2.0,2.628405589149901,0.2732641309127974,4.817555013746974,66.934765,38.901598346229854,0.028793389245731667,0.06854640925054238,1.5755757763704257,0.3877619948318337,1.9450799173114928,0.1366320654563987,,False
MORPH.cluster_5,MORPH,5-semitone chromatic cluster from C4,C4 C#4 D4 D#4 E4,mf mf mf mf mf,flauta flauta flauta flauta flauta,,1 1 1 1 1,0.5,5,5,5,4.0,8.22749841877686,0.2607270692326315,17.372690446018215,101.903771,46.120198850893665,0.11560923209120151,0.30499615502026195,2.3049297590660887,0.2546987000117984,2.3060099425446836,0.13036353461631575,,False
MORPH.cluster_7,MORPH,7-semitone chromatic cluster from C4,C4 C#4 D4 D#4 E4 F4 F#4,mf mf mf mf mf mf mf,flauta flauta flauta flauta flauta flauta flauta,,1 1 1 1 1 1 1,0.5,7,7,7,6.0,16.25878424995875,0.24900938507621384,36.8426185090773,136.495679,52.211943651228914,0.2426871661729893,0.7485866815349853,2.7906721868505007,0.19015076660412086,2.6105971825614454,0.12450469253810692,,False
MORPH.cluster_12,MORPH,12-semitone chromatic cluster from C4,C4 C#4 D4 D#4 E4 F4 F#4 G4 G#4 A4 A#4 B4,mf mf mf mf mf mf mf mf mf mf mf mf,flauta flauta flauta flauta flauta flauta flauta flauta flauta flauta flauta flauta,,1 1 1 1 1 1 1 1 1 1 1 1,0.5,12,12,12,11.0,44.27760923883722,0.22294340671563145,109.35345964027644,209.468586,61.69971145524068,0.5743183578311627,2.752479754751894,3.5562304503294078,0.12390763930587663,3.084985572762034,0.11147170335781573,,False
MORPH.triad_major,MORPH,major triad on C4,C4 E4 G4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.4423979010879058,58.09180500000001,34.500337379511365,0.01937804332565535,0.045630019988763905,1.5448491220845173,0.4467886305133745,1.7250168689755683,0.10687941910697595,,False
MORPH.triad_minor,MORPH,minor triad on C4,C4 D#4 G4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.4566232982888536,60.247123,35.57587114005808,0.019805967288421655,0.04666081977126051,1.5525321379967418,0.4308049365278405,1.7787935570029036,0.10687941910697595,,False
MORPH.triad_dim,MORPH,dim triad on C4,C4 D#4 F#4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,6.0,2.030448077457462,0.22448541600232505,3.687160834112914,61.215267,36.01441535670428,0.021260085951856217,0.05017115640829239,1.5581124472095982,0.42399158366817224,1.8007207678352142,0.11224270800116253,,False
MORPH.triad_aug,MORPH,aug triad on C4,C4 E4 G#4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,8.0,1.7899690561885002,0.20321145310617608,3.2386342957310594,59.29534000000001,35.0654456057747,0.018438965727740144,0.043371490537045684,1.5509577113333886,0.43772002993827164,1.7532722802887348,0.10160572655308803,,False
